Sample	Season	Site	Species	Condition	Compartment	Replicate	Species_Condition	Group	
prBPD09R	Spring	Baza	Ppinaster	Symptomatic	Rhizosphere	9	Ppinaster_Symptomatic	prBPDR	
prBPD10E	Spring	Baza	Ppinaster	Symptomatic	Endosphere	10	Ppinaster_Symptomatic	prBPDE	
prBPD10R	Spring	Baza	Ppinaster	Symptomatic	Rhizosphere	10	Ppinaster_Symptomatic	prBPDR	
prBPD11E	Spring	Baza	Ppinaster	Symptomatic	Endosphere	11	Ppinaster_Symptomatic	prBPDE	
prBPD11R	Spring	Baza	Ppinaster	Symptomatic	Rhizosphere	11	Ppinaster_Symptomatic	prBPDR	
prBPD12E	Spring	Baza	Ppinaster	Symptomatic	Endosphere	12	Ppinaster_Symptomatic	prBPDE	
prBPD12R	Spring	Baza	Ppinaster	Symptomatic	Rhizosphere	12	Ppinaster_Symptomatic	prBPDR	
prBSD01E	Spring	Baza	Psylvestris	Symptomatic	Endosphere	1	Psylvestris_Symptomatic	prBSDE	
prBSD01R	Spring	Baza	Psylvestris	Symptomatic	Rhizosphere	1	Psylvestris_Symptomatic	prBSDR	
prBSD02E	Spring	Baza	Psylvestris	Symptomatic	Endosphere	2	Psylvestris_Symptomatic	prBSDE	
prBSD02R	Spring	Baza	Psylvestris	Symptomatic	Rhizosphere	2	Psylvestris_Symptomatic	prBSDR	
prBSD03E	Spring	Baza	Psylvestris	Symptomatic	Endosphere	3	Psylvestris_Symptomatic	prBSDE	
prBSD03R	Spring	Baza	Psylvestris	Symptomatic	Rhizosphere	3	Psylvestris_Symptomatic	prBSDR	
prBSD04E	Spring	Baza	Psylvestris	Symptomatic	Endosphere	4	Psylvestris_Symptomatic	prBSDE	
prBSD04R	Spring	Baza	Psylvestris	Symptomatic	Rhizosphere	4	Psylvestris_Symptomatic	prBSDR	
prBSD05E	Spring	Baza	Psylvestris	Symptomatic	Endosphere	5	Psylvestris_Symptomatic	prBSDE	
prBSD05R	Spring	Baza	Psylvestris	Symptomatic	Rhizosphere	5	Psylvestris_Symptomatic	prBSDR	
prBSD06E	Spring	Baza	Psylvestris	Symptomatic	Endosphere	6	Psylvestris_Symptomatic	prBSDE	
prBSD06R	Spring	Baza	Psylvestris	Symptomatic	Rhizosphere	6	Psylvestris_Symptomatic	prBSDR	
prBSD07E	Spring	Baza	Psylvestris	Symptomatic	Endosphere	7	Psylvestris_Symptomatic	prBSDE	
prBSD07R	Spring	Baza	Psylvestris	Symptomatic	Rhizosphere	7	Psylvestris_Symptomatic	prBSDR	
prBSD08E	Spring	Baza	Psylvestris	Symptomatic	Endosphere	8	Psylvestris_Symptomatic	prBSDE	
prBSD08R	Spring	Baza	Psylvestris	Symptomatic	Rhizosphere	8	Psylvestris_Symptomatic	prBSDR	
prBSD09E	Spring	Baza	Psylvestris	Symptomatic	Endosphere	9	Psylvestris_Symptomatic	prBSDE	
prBSD09R	Spring	Baza	Psylvestris	Symptomatic	Rhizosphere	9	Psylvestris_Symptomatic	prBSDR	
prBSD10E	Spring	Baza	Psylvestris	Symptomatic	Endosphere	10	Psylvestris_Symptomatic	prBSDE	
prBSD10R	Spring	Baza	Psylvestris	Symptomatic	Rhizosphere	10	Psylvestris_Symptomatic	prBSDR	
prBSD11E	Spring	Baza	Psylvestris	Symptomatic	Endosphere	11	Psylvestris_Symptomatic	prBSDE	
prBSD11R	Spring	Baza	Psylvestris	Symptomatic	Rhizosphere	11	Psylvestris_Symptomatic	prBSDR	
prBSD12E	Spring	Baza	Psylvestris	Symptomatic	Endosphere	12	Psylvestris_Symptomatic	prBSDE	
prBSD12R	Spring	Baza	Psylvestris	Symptomatic	Rhizosphere	12	Psylvestris_Symptomatic	prBSDR	
prNAD01E	Spring	SierraNevada	Psylvestris_autochthonous	Symptomatic	Endosphere	1	Psylvestris_autochthonous_Symptomatic	prNADE	
prNAD01R	Spring	SierraNevada	Psylvestris_autochthonous	Symptomatic	Rhizosphere	1	Psylvestris_autochthonous_Symptomatic	prNADR	
prNAD02E	Spring	SierraNevada	Psylvestris_autochthonous	Symptomatic	Endosphere	2	Psylvestris_autochthonous_Symptomatic	prNADE	
prNAD02R	Spring	SierraNevada	Psylvestris_autochthonous	Symptomatic	Rhizosphere	2	Psylvestris_autochthonous_Symptomatic	prNADR	
prNAD03E	Spring	SierraNevada	Psylvestris_autochthonous	Symptomatic	Endosphere	3	Psylvestris_autochthonous_Symptomatic	prNADE	
prNAD03R	Spring	SierraNevada	Psylvestris_autochthonous	Symptomatic	Rhizosphere	3	Psylvestris_autochthonous_Symptomatic	prNADR	
prNAD04E	Spring	SierraNevada	Psylvestris_autochthonous	Symptomatic	Endosphere	4	Psylvestris_autochthonous_Symptomatic	prNADE	
prNAD04R	Spring	SierraNevada	Psylvestris_autochthonous	Symptomatic	Rhizosphere	4	Psylvestris_autochthonous_Symptomatic	prNADR	
prNAD05E	Spring	SierraNevada	Psylvestris_autochthonous	Symptomatic	Endosphere	5	Psylvestris_autochthonous_Symptomatic	prNADE	
prNAD05R	Spring	SierraNevada	Psylvestris_autochthonous	Symptomatic	Rhizosphere	5	Psylvestris_autochthonous_Symptomatic	prNADR	
prNAD06E	Spring	SierraNevada	Psylvestris_autochthonous	Symptomatic	Endosphere	6	Psylvestris_autochthonous_Symptomatic	prNADE	
prNAD06R	Spring	SierraNevada	Psylvestris_autochthonous	Symptomatic	Rhizosphere	6	Psylvestris_autochthonous_Symptomatic	prNADR	
prNAD07E	Spring	SierraNevada	Psylvestris_autochthonous	Symptomatic	Endosphere	7	Psylvestris_autochthonous_Symptomatic	prNADE	
prNAD07R	Spring	SierraNevada	Psylvestris_autochthonous	Symptomatic	Rhizosphere	7	Psylvestris_autochthonous_Symptomatic	prNADR	
prNAD08E	Spring	SierraNevada	Psylvestris_autochthonous	Symptomatic	Endosphere	8	Psylvestris_autochthonous_Symptomatic	prNADE	
prNAD08R	Spring	SierraNevada	Psylvestris_autochthonous	Symptomatic	Rhizosphere	8	Psylvestris_autochthonous_Symptomatic	prNADR	
prNAD09E	Spring	SierraNevada	Psylvestris_autochthonous	Symptomatic	Endosphere	9	Psylvestris_autochthonous_Symptomatic	prNADE	
prNAD09R	Spring	SierraNevada	Psylvestris_autochthonous	Symptomatic	Rhizosphere	9	Psylvestris_autochthonous_Symptomatic	prNADR	
prNAD10E	Spring	SierraNevada	Psylvestris_autochthonous	Symptomatic	Endosphere	10	Psylvestris_autochthonous_Symptomatic	prNADE	
